English,Italian
part, parte
history, storia
search, cercare
only, solo
police, polizia
thought, pensavo
help, aiuto
request, richiesta
kind, tipo
month, mese
brother, fratello
let, lasciare
because, perché
to put, mettere
no, nessuno
leash, guinzaglio
them, loro
city, città
each, ogni
speak, parlare
come, venire
should, dovrebbe
baby, bambino
long time, lungo tempo
hours, ore
will, sarà
while, mentre
meet again, rivedere
any, alcuno
square, piazza
speak, parlare
understood, capito
knew, sapevo
were, erano
warning, avviso
here is, ecco
could, potrebbe
case, caso
give, dare
type, tipo
their, loro
given, dato
train, treno
body, corpo
place, posto
eyes, occhi
way, modo
listen, ascoltare
whose, di chi
find, trovare
first, primo
lost, perso
hand, mano
side, lato
power, potere
old, vecchio
be, essere
here, qui
morning, mattina
so much, così tanto
child, bambino
point, punto
came, arrivato
after, dopo
sorry, scusa
come, venire
in front of, davanti
towards, verso
minutes, minuti
request, richiesta
bedroom, camera
placed, messo
beautiful, bello
law, legge
would like to, mi piacerebbe
today, oggi
husband, marito
cause, causa
finally, finalmente
hope, sperare
water, acqua
wait, aspettare
left, sinistra
new, nuovo
job, lavoro
stop, fermare
would say, direbbe
Earth, Terra
account, conto
given, dato
far, lontano
end, fine
believe, credere
sweetheart, amore
large, grande
rather, piuttosto
will have, avrà
girls, ragazze
play, giocare
office, ufficio
always, sempre
idea, idea
know, sapere
help, aiuto
show, mostrare
today, oggi
try, provare
change, cambiare
friend, amico
work, lavoro
leave, lasciare
care, cura
save, salvare
talk, parlare
call, chiamare
question, domanda
problem, problema
story, storia
answer, risposta
chance, occasione
morning, mattina
night, notte
help, aiuto
find, trovare
visit, visitare
place, posto
family, famiglia
write, scrivere
read, leggere
study, studiare
learn, imparare
